id,user_id,research_id,viewed_at,created_at
1,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-07 17:45:41.694741+00,2026-05-10 03:10:07.39644+00
2,dd78f100-0754-4f85-8df5-5bdf69cf5662,asgr,2026-05-07 19:17:45.545022+00,2026-05-10 03:10:07.39644+00
3,dd78f100-0754-4f85-8df5-5bdf69cf5662,part,2026-05-07 19:31:10.281387+00,2026-05-10 03:10:07.39644+00
4,dd78f100-0754-4f85-8df5-5bdf69cf5662,dmas,2026-05-07 19:32:33.927868+00,2026-05-10 03:10:07.39644+00
5,dd78f100-0754-4f85-8df5-5bdf69cf5662,asgr,2026-05-07 19:37:11.421442+00,2026-05-10 03:10:07.39644+00
6,dd78f100-0754-4f85-8df5-5bdf69cf5662,ades,2026-05-07 19:37:28.994165+00,2026-05-10 03:10:07.39644+00
7,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,gfs,2026-05-08 00:02:47.580384+00,2026-05-10 03:10:07.39644+00
8,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:17:08.71563+00,2026-05-10 03:10:07.39644+00
9,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:17:15.193817+00,2026-05-10 03:10:07.39644+00
10,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:35:12.969428+00,2026-05-10 03:10:07.39644+00
11,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:35:56.131467+00,2026-05-10 03:10:07.39644+00
12,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:36:37.512079+00,2026-05-10 03:10:07.39644+00
13,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:36:52.64545+00,2026-05-10 03:10:07.39644+00
14,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 00:38:14.306557+00,2026-05-10 03:10:07.39644+00
17,17ad5586-c7c9-4e2b-94e7-ac92f1a6647c,dmas,2026-05-08 02:37:11.242639+00,2026-05-10 03:10:07.39644+00
18,17ad5586-c7c9-4e2b-94e7-ac92f1a6647c,ades,2026-05-08 02:38:03.706432+00,2026-05-10 03:10:07.39644+00
19,17ad5586-c7c9-4e2b-94e7-ac92f1a6647c,ades,2026-05-08 02:53:22.078416+00,2026-05-10 03:10:07.39644+00
20,cd45eb9f-7acb-4398-86ae-8eeaee74b8e1,pyfa,2026-05-08 03:22:36.359055+00,2026-05-10 03:10:07.39644+00
24,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 03:46:34.783196+00,2026-05-10 03:10:07.39644+00
25,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,pyfa,2026-05-08 03:50:47.594093+00,2026-05-10 03:10:07.39644+00
26,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,dmas,2026-05-08 03:52:07.850792+00,2026-05-10 03:10:07.39644+00
27,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,artikel-tpia-corporate-history,2026-05-08 04:05:13.526197+00,2026-05-10 03:10:07.39644+00
28,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-ctth-pubex-insidental-mei2026,2026-05-08 04:05:57.124961+00,2026-05-10 03:10:07.39644+00
29,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,dmas,2026-05-08 04:58:22.769838+00,2026-05-10 03:10:07.39644+00
30,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,dmas,2026-05-08 05:02:29.458553+00,2026-05-10 03:10:07.39644+00
31,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-ctth-pubex-insidental-mei2026,2026-05-08 05:06:38.008858+00,2026-05-10 03:10:07.39644+00
32,a97e4c2c-99a3-4d6f-a136-7cc8a9e4093c,news-ctth-pubex-insidental-mei2026,2026-05-08 05:09:49.725374+00,2026-05-10 03:10:07.39644+00
